Gene,Isoforms,Unique Exon Count
PB.10030,"PB.10030.1, PB.10030.2, PB.10030.3, PB.10030.4, PB.10030.5, PB.10030.6",10
PB.10031,"PB.10031.1, PB.10031.10, PB.10031.11, PB.10031.12, PB.10031.13, PB.10031.14, PB.10031.15, PB.10031.16, PB.10031.17, PB.10031.18, PB.10031.19, PB.10031.2, PB.10031.20, PB.10031.21, PB.10031.22, PB.10031.23, PB.10031.24, PB.10031.25, PB.10031.26, PB.10031.3, PB.10031.4, PB.10031.5, PB.10031.6, PB.10031.7, PB.10031.8, PB.10031.9",42
PB.10032,"PB.10032.1, PB.10032.2, PB.10032.3, PB.10032.4, PB.10032.5, PB.10032.6, PB.10032.7, PB.10032.8, PB.10032.9",10
PB.10033,PB.10033.1,8
PB.10034,"PB.10034.1, PB.10034.2, PB.10034.3, PB.10034.4, PB.10034.5, PB.10034.6, PB.10034.7, PB.10034.8, PB.10034.9",13
PB.10035,"PB.10035.10, PB.10035.11, PB.10035.13, PB.10035.14, PB.10035.3, PB.10035.4, PB.10035.6, PB.10035.7, PB.10035.8, PB.10035.9",14
PB.10036,"PB.10036.1, PB.10036.2, PB.10036.3, PB.10036.4, PB.10036.5, PB.10036.6",14
PB.10037,"PB.10037.2, PB.10037.3, PB.10037.4",3
PB.10038,"PB.10038.1, PB.10038.2, PB.10038.3, PB.10038.4",13
PB.10039,"PB.10039.4, PB.10039.5",2
PB.1004,"PB.1004.1, PB.1004.2, PB.1004.3, PB.1004.4, PB.1004.5, PB.1004.6",10
PB.10040,PB.10040.1,1
PB.10041,"PB.10041.1, PB.10041.2",3
PB.10042,PB.10042.1,4
PB.10043,"PB.10043.1, PB.10043.2, PB.10043.3",9
PB.10044,"PB.10044.1, PB.10044.2, PB.10044.5, PB.10044.6, PB.10044.7, PB.10044.8, PB.10044.9",11
PB.10045,PB.10045.1,1
PB.10046,"PB.10046.1, PB.10046.2, PB.10046.3, PB.10046.4",6
PB.10047,"PB.10047.1, PB.10047.2, PB.10047.3, PB.10047.4, PB.10047.5, PB.10047.7, PB.10047.8",18
PB.10048,PB.10048.1,2
PB.10049,PB.10049.1,1
PB.1005,PB.1005.1,1
PB.10050,PB.10050.1,2
PB.10051,PB.10051.1,22
PB.10052,"PB.10052.1, PB.10052.2, PB.10052.3, PB.10052.4, PB.10052.5, PB.10052.6, PB.10052.7",16
PB.10053,"PB.10053.1, PB.10053.10, PB.10053.11, PB.10053.12, PB.10053.13, PB.10053.15, PB.10053.17, PB.10053.2, PB.10053.5, PB.10053.7, PB.10053.8, PB.10053.9",19
PB.10054,"PB.10054.1, PB.10054.2",2
PB.10055,"PB.10055.1, PB.10055.2",5
PB.10056,"PB.10056.1, PB.10056.3, PB.10056.4, PB.10056.5, PB.10056.6, PB.10056.7, PB.10056.8, PB.10056.9",14
PB.10057,"PB.10057.1, PB.10057.10, PB.10057.11, PB.10057.12, PB.10057.13, PB.10057.14, PB.10057.15, PB.10057.16, PB.10057.17, PB.10057.18, PB.10057.19, PB.10057.2, PB.10057.20, PB.10057.3, PB.10057.4, PB.10057.5, PB.10057.6, PB.10057.7, PB.10057.8, PB.10057.9",34
PB.10058,"PB.10058.1, PB.10058.10, PB.10058.11, PB.10058.12, PB.10058.13, PB.10058.14, PB.10058.15, PB.10058.2, PB.10058.3, PB.10058.6",14
PB.10059,"PB.10059.1, PB.10059.2, PB.10059.3",8
PB.1006,"PB.1006.1, PB.1006.2, PB.1006.3, PB.1006.5, PB.1006.6, PB.1006.7",12
PB.10060,"PB.10060.1, PB.10060.2, PB.10060.3, PB.10060.4",8
PB.10061,PB.10061.1,8
PB.10062,"PB.10062.1, PB.10062.2",4
PB.10063,"PB.10063.1, PB.10063.2, PB.10063.3, PB.10063.4, PB.10063.5, PB.10063.6, PB.10063.7",10
PB.10064,"PB.10064.1, PB.10064.2, PB.10064.3, PB.10064.4",17
PB.10065,"PB.10065.10, PB.10065.11, PB.10065.12, PB.10065.3, PB.10065.4, PB.10065.5, PB.10065.6, PB.10065.7, PB.10065.8, PB.10065.9",15
PB.10066,"PB.10066.1, PB.10066.2",2
PB.10067,"PB.10067.1, PB.10067.2, PB.10067.3, PB.10067.4, PB.10067.5",8
PB.10068,"PB.10068.1, PB.10068.2",4
PB.10069,"PB.10069.1, PB.10069.2",2
PB.1007,"PB.1007.1, PB.1007.2, PB.1007.3, PB.1007.4, PB.1007.5, PB.1007.6, PB.1007.7, PB.1007.8, PB.1007.9",10
PB.10070,"PB.10070.1, PB.10070.10, PB.10070.11, PB.10070.2, PB.10070.3, PB.10070.4, PB.10070.5, PB.10070.6, PB.10070.7, PB.10070.8, PB.10070.9",21
PB.10071,"PB.10071.1, PB.10071.11, PB.10071.12, PB.10071.13, PB.10071.15, PB.10071.16, PB.10071.17, PB.10071.18, PB.10071.19, PB.10071.2, PB.10071.20, PB.10071.21, PB.10071.22, PB.10071.23, PB.10071.25, PB.10071.26, PB.10071.27, PB.10071.28, PB.10071.29, PB.10071.3, PB.10071.30, PB.10071.31, PB.10071.32, PB.10071.33, PB.10071.34, PB.10071.35, PB.10071.36, PB.10071.37, PB.10071.38, PB.10071.39, PB.10071.40, PB.10071.41, PB.10071.42, PB.10071.5, PB.10071.6, PB.10071.7, PB.10071.8",74
PB.10072,"PB.10072.1, PB.10072.10, PB.10072.11, PB.10072.12, PB.10072.2, PB.10072.4, PB.10072.5, PB.10072.6, PB.10072.7, PB.10072.8, PB.10072.9",15
PB.10073,PB.10073.1,1
PB.10074,"PB.10074.1, PB.10074.10, PB.10074.11, PB.10074.2, PB.10074.3, PB.10074.4, PB.10074.7, PB.10074.8, PB.10074.9",17
PB.10075,"PB.10075.1, PB.10075.10, PB.10075.11, PB.10075.4, PB.10075.5, PB.10075.6, PB.10075.7, PB.10075.8, PB.10075.9",15
PB.10076,"PB.10076.1, PB.10076.10, PB.10076.11, PB.10076.12, PB.10076.13, PB.10076.14, PB.10076.15, PB.10076.2, PB.10076.3, PB.10076.4, PB.10076.7, PB.10076.8, PB.10076.9",38
PB.10077,"PB.10077.1, PB.10077.12, PB.10077.13, PB.10077.14, PB.10077.15, PB.10077.16, PB.10077.17, PB.10077.18, PB.10077.19, PB.10077.2, PB.10077.21, PB.10077.22, PB.10077.23, PB.10077.24, PB.10077.25, PB.10077.26, PB.10077.27, PB.10077.28, PB.10077.29, PB.10077.3, PB.10077.30, PB.10077.31, PB.10077.32, PB.10077.33, PB.10077.34, PB.10077.35, PB.10077.36, PB.10077.38, PB.10077.4, PB.10077.40, PB.10077.5, PB.10077.6, PB.10077.7, PB.10077.9",73
PB.10078,"PB.10078.10, PB.10078.11, PB.10078.12, PB.10078.13, PB.10078.14, PB.10078.15, PB.10078.2, PB.10078.3, PB.10078.4, PB.10078.5, PB.10078.6, PB.10078.7, PB.10078.8, PB.10078.9",26
PB.10079,PB.10079.1,3
PB.1008,"PB.1008.1, PB.1008.3, PB.1008.4, PB.1008.5, PB.1008.6, PB.1008.7, PB.1008.8",9
PB.10080,"PB.10080.1, PB.10080.3, PB.10080.4, PB.10080.5, PB.10080.6, PB.10080.7",14
PB.10081,"PB.10081.1, PB.10081.2",6
PB.10082,"PB.10082.1, PB.10082.10, PB.10082.11, PB.10082.12, PB.10082.2, PB.10082.3, PB.10082.6, PB.10082.7, PB.10082.9",20
PB.10083,"PB.10083.1, PB.10083.10, PB.10083.11, PB.10083.12, PB.10083.13, PB.10083.14, PB.10083.2, PB.10083.3, PB.10083.4, PB.10083.5, PB.10083.6, PB.10083.7, PB.10083.8, PB.10083.9",24
PB.10084,"PB.10084.1, PB.10084.2, PB.10084.3, PB.10084.4, PB.10084.5, PB.10084.6",12
PB.10085,PB.10085.1,4
PB.10086,"PB.10086.1, PB.10086.10, PB.10086.11, PB.10086.12, PB.10086.2, PB.10086.3, PB.10086.4, PB.10086.5, PB.10086.6, PB.10086.7, PB.10086.8, PB.10086.9",29
PB.10087,"PB.10087.1, PB.10087.19, PB.10087.20, PB.10087.21, PB.10087.22, PB.10087.23, PB.10087.24, PB.10087.25, PB.10087.26, PB.10087.8, PB.10087.9",15
PB.10088,"PB.10088.1, PB.10088.2, PB.10088.7",5
PB.10089,"PB.10089.1, PB.10089.2, PB.10089.3, PB.10089.4, PB.10089.5",12
PB.1009,"PB.1009.1, PB.1009.2, PB.1009.3",5
PB.10090,"PB.10090.1, PB.10090.10, PB.10090.13, PB.10090.14, PB.10090.15, PB.10090.16, PB.10090.2, PB.10090.3, PB.10090.4, PB.10090.5, PB.10090.6, PB.10090.7, PB.10090.8, PB.10090.9",21
PB.10091,PB.10091.1,1
PB.10092,PB.10092.1,8
PB.10093,"PB.10093.1, PB.10093.2, PB.10093.3",14
PB.10094,"PB.10094.1, PB.10094.2, PB.10094.3, PB.10094.4, PB.10094.5, PB.10094.6, PB.10094.7",15
PB.10095,"PB.10095.1, PB.10095.2, PB.10095.3, PB.10095.4",6
PB.10096,PB.10096.1,50
PB.10097,"PB.10097.1, PB.10097.2, PB.10097.3, PB.10097.5, PB.10097.8, PB.10097.9",10
PB.10098,"PB.10098.1, PB.10098.10, PB.10098.15, PB.10098.16, PB.10098.17, PB.10098.2, PB.10098.20, PB.10098.21, PB.10098.24, PB.10098.9",14
PB.10099,"PB.10099.1, PB.10099.10, PB.10099.11, PB.10099.12, PB.10099.13, PB.10099.14, PB.10099.15, PB.10099.16, PB.10099.17, PB.10099.18, PB.10099.2, PB.10099.21, PB.10099.22, PB.10099.23, PB.10099.24, PB.10099.4, PB.10099.5, PB.10099.6, PB.10099.7, PB.10099.8, PB.10099.9",45
PB.101,PB.101.1,3
PB.1010,"PB.1010.1, PB.1010.2, PB.1010.3, PB.1010.4, PB.1010.5, PB.1010.6",10
PB.10100,"PB.10100.1, PB.10100.11, PB.10100.12, PB.10100.13, PB.10100.14, PB.10100.15, PB.10100.16, PB.10100.17, PB.10100.18, PB.10100.19, PB.10100.2, PB.10100.3, PB.10100.4, PB.10100.6, PB.10100.7, PB.10100.9",23
PB.10101,"PB.10101.1, PB.10101.10, PB.10101.11, PB.10101.12, PB.10101.13, PB.10101.15, PB.10101.16, PB.10101.2, PB.10101.21, PB.10101.22, PB.10101.23, PB.10101.24, PB.10101.25, PB.10101.26, PB.10101.27, PB.10101.28, PB.10101.29, PB.10101.30, PB.10101.31, PB.10101.32, PB.10101.33, PB.10101.34, PB.10101.35, PB.10101.4, PB.10101.41, PB.10101.42, PB.10101.43, PB.10101.44, PB.10101.46, PB.10101.47, PB.10101.48, PB.10101.5, PB.10101.50, PB.10101.51, PB.10101.52, PB.10101.53, PB.10101.54, PB.10101.55, PB.10101.58, PB.10101.59, PB.10101.6, PB.10101.60, PB.10101.61, PB.10101.62, PB.10101.63, PB.10101.64, PB.10101.65, PB.10101.66, PB.10101.67, PB.10101.68, PB.10101.7, PB.10101.8, PB.10101.9",84
PB.10102,PB.10102.1,2
PB.10103,"PB.10103.1, PB.10103.2",4
PB.10104,PB.10104.1,4
PB.10105,"PB.10105.1, PB.10105.2, PB.10105.3",6
PB.10106,"PB.10106.1, PB.10106.10, PB.10106.11, PB.10106.12, PB.10106.14, PB.10106.15, PB.10106.16, PB.10106.17, PB.10106.18, PB.10106.2, PB.10106.3, PB.10106.4, PB.10106.5, PB.10106.7, PB.10106.8, PB.10106.9",29
PB.10107,PB.10107.1,4
PB.10108,"PB.10108.1, PB.10108.2",5
PB.10109,"PB.10109.1, PB.10109.2, PB.10109.3, PB.10109.4, PB.10109.5, PB.10109.6",12
PB.1011,"PB.1011.1, PB.1011.12, PB.1011.13, PB.1011.15, PB.1011.16, PB.1011.19, PB.1011.2, PB.1011.20, PB.1011.25, PB.1011.26, PB.1011.28, PB.1011.29, PB.1011.30, PB.1011.33, PB.1011.34, PB.1011.36, PB.1011.4, PB.1011.40, PB.1011.42, PB.1011.44, PB.1011.45, PB.1011.47, PB.1011.48, PB.1011.49, PB.1011.5, PB.1011.50, PB.1011.53, PB.1011.55, PB.1011.56, PB.1011.57, PB.1011.58, PB.1011.59, PB.1011.6, PB.1011.60, PB.1011.61, PB.1011.62, PB.1011.63, PB.1011.64, PB.1011.65, PB.1011.66, PB.1011.7, PB.1011.8",56
PB.10110,"PB.10110.1, PB.10110.2, PB.10110.3, PB.10110.4, PB.10110.5, PB.10110.6",12
PB.10111,"PB.10111.1, PB.10111.2, PB.10111.3, PB.10111.5, PB.10111.6",10
PB.10112,PB.10112.1,1
PB.10113,"PB.10113.1, PB.10113.2",4
PB.10114,"PB.10114.1, PB.10114.2, PB.10114.3, PB.10114.4, PB.10114.5, PB.10114.6, PB.10114.7, PB.10114.8",14
PB.10115,"PB.10115.1, PB.10115.2, PB.10115.3",6
PB.10116,"PB.10116.1, PB.10116.2, PB.10116.3, PB.10116.4, PB.10116.5, PB.10116.6",13
PB.10117,PB.10117.1,2
PB.10118,"PB.10118.1, PB.10118.2, PB.10118.3",6
PB.10119,"PB.10119.1, PB.10119.2, PB.10119.3, PB.10119.4",7
PB.1012,"PB.1012.1, PB.1012.10, PB.1012.11, PB.1012.12, PB.1012.13, PB.1012.2, PB.1012.3, PB.1012.4, PB.1012.6, PB.1012.8, PB.1012.9",18
PB.10120,"PB.10120.1, PB.10120.2, PB.10120.3",11
PB.10121,PB.10121.1,5
PB.10122,"PB.10122.1, PB.10122.10, PB.10122.11, PB.10122.12, PB.10122.13, PB.10122.2, PB.10122.3, PB.10122.4, PB.10122.5, PB.10122.8, PB.10122.9",14
PB.10123,PB.10123.1,7
PB.10124,"PB.10124.1, PB.10124.2, PB.10124.3, PB.10124.4",9
PB.10125,"PB.10125.1, PB.10125.2",8
PB.10126,"PB.10126.1, PB.10126.10, PB.10126.11, PB.10126.12, PB.10126.13, PB.10126.14, PB.10126.15, PB.10126.16, PB.10126.17, PB.10126.18, PB.10126.19, PB.10126.2, PB.10126.20, PB.10126.21, PB.10126.3, PB.10126.4, PB.10126.5, PB.10126.6, PB.10126.7, PB.10126.8, PB.10126.9",125
PB.10127,"PB.10127.1, PB.10127.10, PB.10127.12, PB.10127.15, PB.10127.16, PB.10127.17, PB.10127.19, PB.10127.20, PB.10127.21, PB.10127.22, PB.10127.23, PB.10127.24, PB.10127.25, PB.10127.26, PB.10127.27, PB.10127.3, PB.10127.31, PB.10127.33, PB.10127.34, PB.10127.35, PB.10127.36, PB.10127.37, PB.10127.4, PB.10127.5, PB.10127.6, PB.10127.7",45
PB.10128,"PB.10128.1, PB.10128.2, PB.10128.3, PB.10128.4",11
PB.10129,"PB.10129.1, PB.10129.10, PB.10129.2, PB.10129.3, PB.10129.4, PB.10129.5, PB.10129.6, PB.10129.7, PB.10129.8, PB.10129.9",28
PB.1013,"PB.1013.1, PB.1013.2, PB.1013.3, PB.1013.4, PB.1013.5, PB.1013.6, PB.1013.7, PB.1013.8, PB.1013.9",15
PB.10130,"PB.10130.3, PB.10130.4, PB.10130.6, PB.10130.7, PB.10130.9",6
PB.10131,"PB.10131.1, PB.10131.2, PB.10131.3, PB.10131.4",11
PB.10132,"PB.10132.1, PB.10132.2, PB.10132.3, PB.10132.4, PB.10132.5, PB.10132.6, PB.10132.7",11
PB.10133,PB.10133.1,11
PB.10134,"PB.10134.1, PB.10134.2, PB.10134.3, PB.10134.4, PB.10134.5",9
PB.10135,PB.10135.1,2
PB.10136,"PB.10136.1, PB.10136.2, PB.10136.3",17
PB.10137,"PB.10137.1, PB.10137.2",5
PB.10138,PB.10138.1,1
PB.10139,"PB.10139.1, PB.10139.2",2
PB.1014,"PB.1014.1, PB.1014.2, PB.1014.3, PB.1014.4, PB.1014.5, PB.1014.6, PB.1014.7",11
PB.10140,"PB.10140.1, PB.10140.10, PB.10140.11, PB.10140.12, PB.10140.13, PB.10140.14, PB.10140.15, PB.10140.16, PB.10140.17, PB.10140.18, PB.10140.19, PB.10140.2, PB.10140.20, PB.10140.21, PB.10140.22, PB.10140.23, PB.10140.24, PB.10140.25, PB.10140.26, PB.10140.27, PB.10140.28, PB.10140.29, PB.10140.3, PB.10140.4, PB.10140.5, PB.10140.6, PB.10140.7, PB.10140.8, PB.10140.9",55
PB.10141,"PB.10141.1, PB.10141.10, PB.10141.11, PB.10141.12, PB.10141.13, PB.10141.14, PB.10141.15, PB.10141.16, PB.10141.17, PB.10141.18, PB.10141.19, PB.10141.2, PB.10141.20, PB.10141.21, PB.10141.22, PB.10141.23, PB.10141.24, PB.10141.25, PB.10141.26, PB.10141.3, PB.10141.4, PB.10141.5, PB.10141.6, PB.10141.7, PB.10141.8, PB.10141.9",40
PB.10142,"PB.10142.1, PB.10142.2",3
PB.10143,PB.10143.1,6
PB.10144,"PB.10144.1, PB.10144.2, PB.10144.3",8
PB.10145,"PB.10145.1, PB.10145.2",3
PB.10146,"PB.10146.1, PB.10146.10, PB.10146.11, PB.10146.12, PB.10146.13, PB.10146.14, PB.10146.15, PB.10146.16, PB.10146.17, PB.10146.18, PB.10146.19, PB.10146.2, PB.10146.20, PB.10146.21, PB.10146.22, PB.10146.23, PB.10146.24, PB.10146.25, PB.10146.26, PB.10146.27, PB.10146.28, PB.10146.29, PB.10146.3, PB.10146.30, PB.10146.31, PB.10146.32, PB.10146.34, PB.10146.6, PB.10146.7, PB.10146.8, PB.10146.9",71
PB.10147,"PB.10147.1, PB.10147.2, PB.10147.3, PB.10147.4, PB.10147.5, PB.10147.6, PB.10147.7, PB.10147.8, PB.10147.9",16
PB.10148,PB.10148.1,2
PB.10149,PB.10149.1,2
PB.1015,PB.1015.1,4
PB.10150,"PB.10150.1, PB.10150.2, PB.10150.3",3
PB.10151,"PB.10151.1, PB.10151.2",3
PB.10152,PB.10152.1,1
PB.10153,"PB.10153.1, PB.10153.2, PB.10153.3, PB.10153.4",11
PB.10154,"PB.10154.1, PB.10154.10, PB.10154.11, PB.10154.12, PB.10154.13, PB.10154.14, PB.10154.15, PB.10154.16, PB.10154.17, PB.10154.18, PB.10154.19, PB.10154.2, PB.10154.3, PB.10154.5, PB.10154.6, PB.10154.7, PB.10154.8, PB.10154.9",33
PB.10155,"PB.10155.1, PB.10155.10, PB.10155.11, PB.10155.12, PB.10155.13, PB.10155.14, PB.10155.15, PB.10155.16, PB.10155.17, PB.10155.18, PB.10155.2, PB.10155.21, PB.10155.22, PB.10155.23, PB.10155.26, PB.10155.27, PB.10155.28, PB.10155.29, PB.10155.3, PB.10155.30, PB.10155.31, PB.10155.32, PB.10155.33, PB.10155.5, PB.10155.6, PB.10155.7, PB.10155.8, PB.10155.9",45
PB.10156,PB.10156.1,4
PB.10157,PB.10157.1,6
PB.10158,"PB.10158.1, PB.10158.2",5
PB.10159,PB.10159.1,1
PB.1016,"PB.1016.1, PB.1016.2, PB.1016.3, PB.1016.4, PB.1016.5, PB.1016.6, PB.1016.7, PB.1016.8, PB.1016.9",12
PB.10160,"PB.10160.1, PB.10160.2, PB.10160.3, PB.10160.4, PB.10160.5, PB.10160.6, PB.10160.7, PB.10160.8, PB.10160.9",55
PB.10161,"PB.10161.1, PB.10161.2, PB.10161.3, PB.10161.4, PB.10161.5",11
PB.10162,"PB.10162.1, PB.10162.10, PB.10162.12, PB.10162.13, PB.10162.14, PB.10162.15, PB.10162.16, PB.10162.2, PB.10162.3, PB.10162.4, PB.10162.5, PB.10162.6, PB.10162.7, PB.10162.8, PB.10162.9",32
PB.10163,"PB.10163.1, PB.10163.2, PB.10163.3",7
PB.10164,PB.10164.1,1
PB.10165,"PB.10165.1, PB.10165.2",5
PB.10166,"PB.10166.10, PB.10166.11, PB.10166.12, PB.10166.13, PB.10166.14, PB.10166.15, PB.10166.16, PB.10166.17, PB.10166.18, PB.10166.19, PB.10166.2, PB.10166.20, PB.10166.21, PB.10166.22, PB.10166.23, PB.10166.24, PB.10166.25, PB.10166.26, PB.10166.27, PB.10166.28, PB.10166.29, PB.10166.3, PB.10166.30, PB.10166.31, PB.10166.4, PB.10166.5, PB.10166.6, PB.10166.7, PB.10166.8, PB.10166.9",60
PB.10167,"PB.10167.1, PB.10167.10, PB.10167.11, PB.10167.12, PB.10167.13, PB.10167.14, PB.10167.15, PB.10167.16, PB.10167.17, PB.10167.18, PB.10167.19, PB.10167.2, PB.10167.20, PB.10167.3, PB.10167.4, PB.10167.5, PB.10167.6, PB.10167.7, PB.10167.9",37
PB.10168,PB.10168.1,1
PB.10169,"PB.10169.1, PB.10169.2",7
PB.1017,"PB.1017.1, PB.1017.2",14
PB.10170,"PB.10170.1, PB.10170.10, PB.10170.11, PB.10170.12, PB.10170.13, PB.10170.14, PB.10170.15, PB.10170.16, PB.10170.17, PB.10170.2, PB.10170.3, PB.10170.4, PB.10170.5, PB.10170.6, PB.10170.7, PB.10170.8, PB.10170.9",27
PB.10171,"PB.10171.1, PB.10171.2, PB.10171.3",4
PB.10172,"PB.10172.1, PB.10172.2",5
PB.10173,"PB.10173.1, PB.10173.2, PB.10173.3",8
PB.10174,"PB.10174.1, PB.10174.2, PB.10174.3",8
PB.10175,PB.10175.1,2
PB.10176,PB.10176.1,2
PB.10177,"PB.10177.1, PB.10177.10, PB.10177.12, PB.10177.13, PB.10177.15, PB.10177.16, PB.10177.17, PB.10177.18, PB.10177.19, PB.10177.2, PB.10177.20, PB.10177.21, PB.10177.22, PB.10177.23, PB.10177.24, PB.10177.25, PB.10177.26, PB.10177.27, PB.10177.28, PB.10177.3, PB.10177.30, PB.10177.31, PB.10177.32, PB.10177.34, PB.10177.35, PB.10177.36, PB.10177.37, PB.10177.39, PB.10177.4, PB.10177.40, PB.10177.42, PB.10177.43, PB.10177.44, PB.10177.5, PB.10177.6, PB.10177.7, PB.10177.8, PB.10177.9",70
PB.10178,"PB.10178.1, PB.10178.10, PB.10178.11, PB.10178.12, PB.10178.3, PB.10178.4, PB.10178.5, PB.10178.6, PB.10178.7, PB.10178.8, PB.10178.9",20
PB.10179,PB.10179.1,7
PB.1018,PB.1018.3,2
PB.10180,"PB.10180.1, PB.10180.2",4
PB.10181,"PB.10181.1, PB.10181.2, PB.10181.3, PB.10181.4, PB.10181.5",6
PB.10182,"PB.10182.1, PB.10182.10, PB.10182.11, PB.10182.12, PB.10182.13, PB.10182.14, PB.10182.15, PB.10182.16, PB.10182.4, PB.10182.5, PB.10182.8, PB.10182.9",25
PB.10183,"PB.10183.1, PB.10183.12, PB.10183.13, PB.10183.14, PB.10183.15, PB.10183.16, PB.10183.17, PB.10183.18, PB.10183.19, PB.10183.2, PB.10183.20, PB.10183.21, PB.10183.22, PB.10183.23, PB.10183.24, PB.10183.25, PB.10183.26, PB.10183.27, PB.10183.28, PB.10183.29, PB.10183.3, PB.10183.30, PB.10183.31, PB.10183.32, PB.10183.33, PB.10183.34, PB.10183.35, PB.10183.36, PB.10183.4, PB.10183.5, PB.10183.6, PB.10183.7, PB.10183.8, PB.10183.9",77
PB.10184,"PB.10184.1, PB.10184.10, PB.10184.11, PB.10184.12, PB.10184.13, PB.10184.14, PB.10184.2, PB.10184.3, PB.10184.4, PB.10184.5, PB.10184.6, PB.10184.8, PB.10184.9",34
PB.10185,"PB.10185.1, PB.10185.10, PB.10185.11, PB.10185.12, PB.10185.13, PB.10185.14, PB.10185.15, PB.10185.16, PB.10185.17, PB.10185.18, PB.10185.19, PB.10185.2, PB.10185.20, PB.10185.21, PB.10185.23, PB.10185.24, PB.10185.25, PB.10185.26, PB.10185.27, PB.10185.28, PB.10185.29, PB.10185.3, PB.10185.4, PB.10185.5, PB.10185.6, PB.10185.7, PB.10185.8, PB.10185.9",51
PB.10186,"PB.10186.1, PB.10186.2, PB.10186.3, PB.10186.4, PB.10186.5, PB.10186.6, PB.10186.7, PB.10186.8, PB.10186.9",16
PB.10187,"PB.10187.1, PB.10187.2, PB.10187.3, PB.10187.4, PB.10187.5, PB.10187.6, PB.10187.7",17
PB.10188,PB.10188.1,1
